Alg.greedy_dp_prefixed	Alg.Relator
Alg.greedy_dp	Alg.Relator
Alg.Birelator.fixLeft_preservesRecip	Alg.Birelator
Alg.greedy_dp_of_birelator	Alg.Birelator
Alg.RelSet.Detab.St	Alg.RelSet
Alg.RelSet.Detab.stepFn	Alg.RelSet
Alg.RelSet.Detab.detabAlg	Alg.RelSet
Alg.RelSet.Detab.detabTupled	Alg.RelSet
Alg.RelSet.Detab.detab_wrap	Alg.RelSet
Alg.RelSet.Detab.detab_snoc	Alg.RelSet
Alg.RelSet.Detab.detab	Alg.RelSet
Alg.tardiness_greedy	Alg.Relator
Alg.tex_greedy	Alg.Relator
Alg.comp_inter_le	Alg.Allegory
Alg.inter_comp_le	Alg.Allegory
Alg.modular_le_right	Alg.Allegory
Alg.modular_sym	Alg.Allegory
Alg.recip_comp_inter_id_le	Alg.Allegory
Alg.le_comp_recip_comp	Alg.Allegory
Alg.inter_comp_refine	Alg.Allegory
Alg.prodAllegory	Alg.Allegory
Alg.prod_le_iff	Alg.Allegory
Alg.IsPreorder	Alg.Allegory
Alg.AntiSymmetric	Alg.Allegory
Alg.IsPartialOrder	Alg.Allegory
Alg.isPreorder_recip	Alg.Allegory
Alg.isPreorder_inter	Alg.Allegory
Alg.symmetric_inter	Alg.Allegory
Alg.equivalence_inter_recip	Alg.Allegory
Alg.coreflexive_transitive	Alg.Allegory
Alg.coreflexive_comp_inter	Alg.Allegory
Alg.coreflexive_comp_inter_left	Alg.Allegory
Alg.coreflexive_shunt_inter	Alg.Allegory
Alg.coreflexive_shunt_left	Alg.Allegory
Alg.dom_UP	Alg.Allegory
Alg.dom_comp_dom	Alg.Allegory
Alg.entire_inter_iff	Alg.Allegory
Alg.simple_modular_eq	Alg.Allegory
Alg.simple_dist_inter_recip	Alg.Allegory
Alg.map_shunt_right	Alg.Allegory
Alg.map_shunt_left	Alg.Allegory
Alg.recip_of_comp_id	Alg.Allegory
Alg.symmetric_transitive_iff_comp_recip	Alg.Allegory
Alg.simple_comp_recip_comp	Alg.Allegory
Alg.map_monic_of_comp_recip	Alg.Allegory
Alg.id_le_comp_recip_of_map	Alg.Allegory
Alg.maps_to_partial_unit_unique	Alg.Allegory
Alg.unit_top_recip	Alg.Allegory
Alg.map_comp_proj	Alg.Allegory
Alg.maps_to_unit_unique	Alg.UnitaryAllegory
Alg.unit_of_terminal_in_maps	Alg.TabularAllegory
Alg.tabulates_simple_monic	Alg.Allegory
Alg.tabulates_entire_cover	Alg.Allegory
Alg.tabulates_map_iso	Alg.Allegory
Alg.inter_mono	Alg.Allegory
Alg.antisymm_of_le_iff	Alg.Allegory
Alg.GaloisConn	Alg.GaloisConn
